playerName,seasonStartYear,inflationAdjSalary,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,target
Malik Rose,2002,5518,16,2,5,0,0,1,2,1,2,4,0,0,0,1,2,6,9
Brent Barry,2002,5516,25,3,6,1,3,1,1,0,2,3,3,0,0,1,1,8,9
Markieff Morris,2015,5503,24,4,9,0,2,1,2,1,4,5,1,0,0,1,2,11,9
Kendall Gill,2000,5484,29,4,11,0,1,2,3,1,2,4,2,1,0,1,2,11,9
Nemanja Bjelica,2017,5481,21,2,6,1,3,0,0,1,3,4,1,0,0,0,2,7,9
Danny Ferry,1999,5474,18,2,5,0,1,0,0,0,1,2,1,0,0,0,2,5,9
Etan Thomas,2005,5471,16,2,4,0,0,1,2,1,3,4,0,0,1,0,2,5,9
John Salmons,2008,5459,25,3,7,0,2,1,2,0,2,2,2,0,0,1,1,9,9
Mark Jackson,1999,5446,27,2,6,0,2,1,1,0,2,3,7,0,0,2,1,7,9
Dan Gadzuric,2006,5424,14,1,3,0,0,0,1,1,2,4,0,0,0,0,2,4,9
Adam Morrison,2007,5424,19,2,7,0,2,0,1,0,1,2,1,0,0,1,1,7,9
Kurt Thomas,2004,5418,23,3,6,0,0,1,1,1,4,6,1,0,0,1,3,7,9
John Starks,1998,5418,25,4,10,1,3,1,2,0,1,2,2,1,0,1,2,11,9
Tony Battie,2004,5416,20,2,5,0,0,0,1,1,3,5,0,0,0,0,2,5,9
Marcus Morris,2015,5405,26,4,10,1,4,1,2,0,3,4,1,0,0,1,2,12,9
Jonathan Isaac,2018,5386,25,3,8,0,3,1,1,1,4,5,1,1,1,1,2,9,9
Antonio Daniels,2003,5363,22,2,5,0,1,2,2,0,1,1,3,0,0,1,1,7,9
Eric Williams,2001,5347,23,2,6,0,1,2,3,1,2,3,1,0,0,1,2,8,9
Ruben Patterson,2002,5343,23,4,7,0,0,2,3,1,2,4,1,1,0,1,2,10,9
Dino Radja,1997,5332,34,5,13,0,0,2,2,1,6,8,1,0,1,2,3,13,9
Fred VanVleet,2017,5328,23,3,8,1,4,1,1,0,2,2,3,0,0,1,1,10,9
Chris Childs,1999,5293,24,2,5,0,1,1,1,0,2,2,4,0,0,1,3,6,9
Isaiah Rider,1998,5264,30,5,13,1,3,2,3,1,2,3,2,0,0,2,2,15,9
Justise Winslow,2017,5251,27,3,8,0,2,1,1,1,4,5,2,0,0,1,2,8,9
Dana Barros,1998,5247,19,3,7,1,2,1,1,0,1,1,2,0,0,1,1,8,9
Jared Dudley,2013,5230,21,2,5,0,2,1,1,0,2,3,1,0,0,0,1,7,9
Andray Blatche,2009,5229,21,4,8,0,0,1,2,1,3,5,1,0,0,1,2,9,9
Robert Pack,1998,5221,19,2,6,0,0,1,2,0,1,1,4,1,0,2,1,7,9
Jorge Garbajosa,2007,5212,26,3,7,0,2,0,1,0,3,4,1,1,0,0,1,7,9
Marcus Thornton,2012,5190,22,4,10,1,4,1,1,0,1,2,1,0,0,1,1,11,9
Brandon Jennings,2013,5183,29,4,12,1,4,2,3,0,2,2,5,1,0,2,1,13,9
Armen Gilliam,1997,5176,21,3,6,0,0,2,3,1,3,5,0,0,0,1,2,8,9
Desmond Mason,2004,5168,30,4,10,0,0,2,3,1,3,4,1,0,0,1,2,12,9
Glen Davis,2010,5158,20,3,6,0,0,1,2,1,2,4,0,0,0,1,2,7,9
Jaxson Hayes,2019,5157,16,2,4,0,0,1,2,1,2,4,0,0,0,0,2,7,9
Jeff Foster,2005,5154,19,1,3,0,0,1,1,2,4,6,0,0,0,0,2,4,9
Jae Crowder,2015,5150,24,3,8,1,4,1,2,0,3,4,1,0,0,0,2,9,9
Derrick Williams,2014,5136,19,3,7,0,1,2,2,0,3,3,0,0,0,0,1,8,9
Josh Howard,2007,5135,30,5,12,0,2,2,3,1,4,5,1,1,0,1,2,14,9
Scot Pollard,2002,5132,15,1,3,0,0,0,1,1,2,4,0,0,0,0,2,4,9
Will Barton,2015,5105,23,4,9,1,3,1,2,0,3,4,2,0,0,1,1,10,9
Charlie Ward,2000,5090,23,2,5,1,2,0,1,0,2,2,4,1,0,1,2,6,9
Greg Oden,2009,5080,18,2,5,0,0,1,2,2,3,5,0,0,1,1,3,7,9
Marc Jackson,2003,5080,18,3,6,0,0,2,2,1,2,4,0,0,0,1,2,8,9
Morris Peterson,2005,5063,26,3,9,1,3,1,1,0,2,3,1,0,0,0,2,10,9
Jerryd Bayless,2013,5063,20,2,7,0,2,1,2,0,1,2,2,0,0,1,2,8,9
Howard Eisley,2001,5062,20,2,6,0,2,1,1,0,1,1,3,0,0,1,2,6,9
DeSagana Diop,2006,5044,13,0,1,0,0,0,0,1,2,3,0,0,1,0,2,2,9
Travis Outlaw,2008,5041,20,3,7,0,1,1,2,0,2,3,0,0,0,0,1,8,9
Ricky Davis,2003,5005,29,5,11,0,2,2,3,0,2,3,3,0,0,2,1,13,9
Larry Sanders,2013,4994,19,2,5,0,0,0,1,2,3,5,0,0,1,0,2,6,9
Speedy Claxton,2004,4994,24,3,7,0,0,2,3,0,1,2,4,1,0,1,2,8,9
Nick Collison,2010,4990,19,2,4,0,0,0,1,1,3,5,1,0,0,0,2,5,9
Langston Galloway,2016,4980,22,3,7,1,4,0,1,0,2,2,1,0,0,0,1,8,9
Raymond Felton,2011,4966,29,4,10,0,2,1,2,0,2,2,5,1,0,2,1,11,9
Jon Leuer,2014,4952,14,2,5,0,0,0,1,0,2,3,0,0,0,0,1,6,9
Trevor Booker,2013,4951,19,2,5,0,0,0,1,1,3,5,1,0,0,0,2,6,9
Kendrick Perkins,2009,4939,21,2,4,0,0,1,1,1,4,5,0,0,1,1,2,5,9
Kosta Koufos,2013,4936,15,2,4,0,0,0,1,1,3,4,0,0,0,0,1,5,9
Lauri Markkanen,2018,4917,30,5,13,2,6,2,3,1,6,7,1,0,0,1,1,16,9
Rick Fox,2000,4909,26,3,7,1,2,1,1,0,2,3,2,1,0,1,3,9,9
Nazr Mohammed,2006,4899,15,2,4,0,0,0,1,1,2,4,0,0,0,0,2,5,9
Darren Collison,2013,4894,28,4,9,0,2,2,2,0,2,2,4,1,0,1,1,12,9
Derek Fisher,2004,4894,25,2,7,0,2,1,1,0,1,2,2,1,0,1,2,8,9
Dewayne Dedmon,2016,4880,17,2,4,0,1,0,1,1,4,5,0,0,0,0,2,6,9
Bo Outlaw,2001,4847,23,2,3,0,0,1,1,1,3,5,1,0,1,1,2,5,9
Norman Powell,2017,4837,17,3,6,1,2,1,1,0,1,2,1,0,0,0,1,8,9
Marquis Daniels,2007,4832,19,3,6,0,0,1,1,0,1,2,1,0,0,1,1,7,9
Walt Williams,1999,4828,23,3,8,1,3,1,1,0,2,3,1,0,0,1,2,9,9
Gerald Henderson,2013,4819,25,4,9,0,1,2,2,0,2,3,1,0,0,1,1,11,9
Doug West,1998,4815,20,2,5,0,0,0,1,0,1,1,1,0,0,0,2,5,9
Michael Stewart,2000,4812,10,0,1,0,0,0,0,1,1,3,0,0,0,0,1,2,9
Martell Webster,2010,4811,23,2,6,1,3,1,1,0,2,3,0,0,0,0,1,8,9
