playerName,inflationAdjSalary
Cedric Henderson,3295
Thon Maker,3281
Sasha Danilovic,3280
Pat Garrity,3267
Nik Stauskas,3264
Nikoloz Tskitishvili,3264
Luc Mbah a Moute,3263
Bimbo Coles,3258
Bruce Bowen,3253
Joe Dumars,3229
Othella Harrington,3224
Anthony Tolliver,3223
Eric Piatkowski,3220
Mario Chalmers,3211
Alexis Ajinca,3205
Bam Adebayo,3204
Lucious Harris,3199
Dale Ellis,3195
Troy Brown,3191
Kostas Papanikolaou,3190
Anthony Morrow,3177
Mikki Moore,3169
Reggie Evans,3160
Keyon Dooling,3158
Charlie Bell,3155
Hot Rod Williams,3146
Nickeil Alexander-Walker,3144
Furkan Aldemir,3129
Tibor Pleiss,3115
Ira Newble,3112
Ronny Turiaf,3108
Matt Bonner,3106
Rafael Araujo,3105
Travis Best,3103
Chris Crawford,3098
Marreese Speights,3097
Eddie Griffin,3091
Terry Porter,3089
James Robinson,3082
Carlos Arroyo,3065
Kevin Willis,3060
Ronnie Brewer,3055
Mike Scott,3055
Elliot Perry,3052
Carlos Delfino,3049
Domantas Sabonis,3047
Justin Jackson,3043
Tarik Black,3042
Andrew DeClercq,3035
Robert Swift,3035
Zhaire Smith,3032
Mike Sweetney,3031
Chase Budinger,3028
Kyle Singler,3027
Tony Delk,3019
David Andersen,3006
Cedi Osman,3002
Ryan Gomes,3001
Andrew Nicholson,2994
Goga Bitadze,2987
Dajuan Wagner,2986
Matt Barnes,2977
Jud Buechler,2967
Lavoy Allen,2957
Dorell Wright,2953
Donald Royal,2947
Yi Jianlian,2946
Will Bynum,2942
Taurean Prince,2929
Dario Saric,2929
Thomas Robinson,2918
Mark Bryant,2907
Kyle O'Quinn,2902
Noah Vonleh,2887
Sean Rooks,2887
Spencer Dinwiddie,2884
Aaron Williams,2881
Donte DiVincenzo,2880
Jeff McInnis,2879
Michael Doleac,2875
Luka Samanic,2853
Randy Brown,2850
Rodney Hood,2841
Tyler Hansbrough,2838
Mario Elie,2837
Steve Kerr,2835
Terry Cummings,2832
DeShawn Stevenson,2825
Popeye Jones,2823
Sasha Vujacic,2803
Malcolm Delaney,2795
Greg Anthony,2791
Ivica Zubac,2790
Marko Guduric,2784
Antoine Carr,2778
Joel Anthony,2771
Carlos Rogers,2770
Quincy Pondexter,2766
Nate Robinson,2754
Yinka Dare,2749
DJ Wilson,2747
Matisse Thybulle,2738
Lonnie Walker,2738
Jared Sullinger,2737
Chris Whitney,2730
Tyronn Lue,2729
Sergio Rodriguez,2727
Saer Sene,2721
Fred Jones,2717
Kevin Seraphin,2712
Denzel Valentine,2706
Brandon Rush,2702
Rodney White,2697
Michael Cage,2697
Bostjan Nachbar,2692
Damon Jones,2691
Kedrick Brown,2688
Guerschon Yabusele,2684
Seth Curry,2680
Willie Green,2672
Jon Barry,2667
Julian Wright,2667
Vincent Poirier,2657
Daequan Cook,2638
Brandon Clarke,2629
Robert Traylor,2628
Shelden Williams,2614
Hubert Davis,2611
Kevin Huerter,2611
TJ Leaf,2609
Georgios Papagiannis,2609
Michael Carter-Williams,2604
Dan Dickau,2604
Juan Hernangomez,2600
Iakovos Tsakalidis,2600
Frank Brickowski,2600
Cory Alexander,2599
Sam Mitchell,2596
Justin Holiday,2592
Khalid Reeves,2588
Shawn Respert,2586
Jamie Feick,2582
Jarvis Hayes,2579
Festus Ezeli,2576
Kevin Gamble,2569
Al Thornton,2565
Daniel Theis,2564
George McCloud,2563
Aleksandar Pavlovic,2552
Keith Closs,2551
Brian Cook,2536
CJ Watson,2531
Samaki Walker,2530
Grant Williams,2524
Shelvin Mack,2519
Kenny Gattison,2514
Johnny Newman,2511
Tyler Zeller,2509
Felton Spencer,2508
Josh Okogie,2508
James Jones,2501
Brian Skinner,2499
Terry Mills,2495
John Collins,2492
Tree Rollins,2491
Rex Walters,2491
Darius Miller,2486
Sebastian Telfair,2485
Rashad McCants,2480
Walter Herrmann,2476
Rasual Butler,2474
Vassilis Spanoulis,2472
Shabazz Muhammad,2470
Johan Petro,2461
Michael Curry,2459
Greg Graham,2458
Eric Murdock,2458
Blue Edwards,2447
Muggsy Bogues,2437
Jackie Butler,2434
Juan Dixon,2433
Damien Wilkins,2430
Lorenzo Williams,2429
Buck Williams,2425
Jerome Moiso,2425
Darius Bazley,2423
Yaroslav Korolev,2417
Grayson Allen,2408
Brian Scalabrine,2405
Terry Davis,2393
Harry Giles,2392
Patrick O'Bryant,2388
Corie Blount,2387
Lucas Nogueira,2385
Ed O'Bannon,2377
Ibo Kutluay,2375
Walter McCarty,2373
John Wallace,2364
Trajan Langdon,2364
Kelenna Azubuike,2355
Cezary Trybanski,2355
Anthony Randolph,2355
Vitor Faverani,2354
Aaron Brooks,2348
John Amaechi,2347
Kosta Perovic,2347
Mike Muscala,2347
John Salley,2345
Reggie Bullock,2340
Kevin Ollie,2333
Delonte West,2329
Ty Jerome,2326
Chandler Hutchison,2310
Brooks Thompson,2310
Gerald Wilkins,2305
Erick Strickland,2299
Terrance Ferguson,2296
Primoz Brezec,2295
Sean May,2287
Acie Earl,2282
Steve Novak,2272
Kirk Snyder,2264
Anthony Johnson,2242
Lee Mayberry,2237
Acie Law,2236
Duane Ferrell,2234
Trey Burke,2233
Nassir Little,2233
Chris Copeland,2232
Gheorghe Muresan,2230
Jiri Welsch,2224
Aaron Holiday,2219
Predrag Drobnjak,2218
Rodney McGruder,2208
Cameron Payne,2208
B.J. Tyler,2206
Jarrett Allen,2205
Rashad Vaughn,2202
Sam Dekker,2195
Tom Hammonds,2194
Jordan Farmar,2183
Dante Cunningham,2175
Jamario Moon,2161
Dylan Windler,2159
Richaun Holmes,2158
Alonzo Gee,2151
Keith Bogans,2144
Terrence Williams,2139
Luke Jackson,2138
Gerald Green,2135
Kevon Looney,2135
Zarko Cabarkapa,2134
Stanislav Medvedenko,2132
Malik Beasley,2132
Wang Zhizhi,2131
Mark Madsen,2130
Anfernee Simons,2130
Eric Maynor,2128
Shawne Williams,2125
Yogi Ferrell,2123
Bryn Forbes,2121
Austin Daye,2121
Ante Zizic,2116
Joe Alexander,2116
OG Anunoby,2116
Omri Casspi,2112
Earl Clark,2112
Melvin Ely,2105
Cedric Simmons,2105
Malik Sealy,2104
Vernon Maxwell,2102
Tony Dumas,2098
Mfiondu Kabengele,2097
Maurice Evans,2097
Gary Trent,2092
Derek Harper,2090
Henry Ellenson,2089
Reece Gaines,2086
Jordan Poole,2084
Marcus Haislip,2083
Hilton Armstrong,2079
Antoine Wright,2077
Jason Collier,2070
Keldon Johnson,2069
J.R. Reid,2069
Cherokee Parks,2068
Wade Baldwin,2062
Haywoode Workman,2060
Greg Stiemsma,2049
Caris LeVert,2048
Moritz Wagner,2045
Xavier Henry,2036
Jarron Collins,2034
Anthony Carter,2029
William Avery,2027
Ike Diogu,2026
KJ McDaniels,2019
Gigi Datome,2015
Shannon Brown,2008
Royce White,2007
Curtis Borchardt,2006
Rondae Hollis-Jefferson,2004
James Ennis,2004
Zoran Dragic,2001
Dorian Finney-Smith,1994
Jon Koncak,1993
DeAndre Bembry,1988
DerMarr Johnson,1983
Didier Ilunga-Mbenga,1982
Troy Bell,1981
Landry Shamet,1977
Courtney Alexander,1971
Scott Burrell,1966
Vincent Askew,1964
Alan Williams,1963
Troy Daniels,1961
Craig Smith,1960
Justin Patton,1960
Renaldo Balkman,1959
Justin Anderson,1955
Dahntay Jones,1948
Aleksandar Radojevic,1942
Earl Boykins,1935
Robert Williams,1920
Kirk Haston,1912
Jacob Evans,1908
Joey Graham,1902
Joffrey Lauvergne,1901
Jake Layman,1899
Jake Voskuhl,1895
Dzanan Musa,1894
Chris Singleton,1888
Caleb Swanigan,1886
Tyler Lydon,1886
Omari Spellman,1881
Tim Legler,1879
Todd Day,1877
Mark Strickland,1874
Tony Massenburg,1859
Eric Mobley,1858
Khem Birch,1857
Doug Edwards,1853
Glenn Robinson III,1849
Shabazz Napier,1846
Robert Parish,1841
Louis Amundson,1839
Patrick McCaw,1837
Tyler Ennis,1837
Oleksiy Pecherov,1833
Kyle Kuzma,1831
Bryce Drew,1828
Francisco Elson,1823
Bill Wennington,1821
Tony Bradley,1820
Gary Neal,1817
Rodions Kurucs,1812
Derrick White,1807
Brian Roberts,1805
Shammond Williams,1805
Jimmer Fredette,1803
Gustavo Ayon,1802
Josh Hart,1794
Jumaine Jones,1776
Jarell Martin,1772
Bruno Caboclo,1771
Matt Bullard,1769
Viktor Khryapa,1768
Mark West,1767
Clifford Rozier,1767
Vyacheslav Kravtsov,1760
Sergey Karasev,1759
Shane Larkin,1754
Javaris Crittenton,1751
Rudy Fernandez,1748
Josh Boone,1746
Pascal Siakam,1741
Furkan Korkmaz,1740
Cal Bowdler,1738
Jason Hart,1736
Skal Labissiere,1735
TJ McConnell,1730
Rodrigue Beaubois,1730
Norris Cole,1729
Dejounte Murray,1728
Johnny Taylor,1724
Damian Jones,1721
Bill Curley,1720
Jerian Grant,1719
Roger Mason,1714
Malik Allen,1714
Sean Williams,1713
Kareem Rush,1711
Eddie House,1706
