playerName,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Isaiah Rider,30,5,13,1,3,2,3,1,2,3,2,0,0,2,2,15
Ron Mercer,30,5,13,0,0,1,2,0,2,3,2,1,0,1,2,13
Josh Richardson,30,4,10,1,4,1,2,0,2,3,2,1,0,1,2,12
Keith Van Horn,30,5,12,1,2,3,3,1,4,6,1,0,0,2,2,15
Shane Battier,29,2,6,1,3,1,1,1,2,4,1,0,0,0,2,8
Bryant Reeves,29,5,10,0,0,2,3,2,4,6,1,0,0,1,3,12
Jamal Murray,29,6,13,1,5,2,2,0,2,3,3,0,0,1,1,16
Rudy Gobert,29,4,6,0,0,3,4,3,7,10,1,0,2,1,2,11
De'Aaron Fox,29,5,13,0,2,3,4,0,2,3,6,1,0,2,2,16
Vlade Divac,29,4,9,0,0,2,3,2,5,7,3,1,1,2,3,11
Rod Strickland,29,4,10,0,0,2,4,0,2,3,7,1,0,2,1,12
Brandon Jennings,29,4,12,1,4,2,3,0,2,2,5,1,0,2,1,13
P.J. Washington,29,4,10,1,3,1,2,1,4,5,2,0,0,1,2,12
Nikola Vučević,29,6,14,0,1,1,2,2,7,10,2,0,0,1,2,16
Vince Carter,29,6,13,1,4,3,4,1,3,4,3,0,0,1,2,16
Rui Hachimura,29,5,11,0,1,2,2,1,4,6,1,0,0,1,2,13
Wilson Chandler,29,4,10,1,3,1,2,1,4,5,1,0,0,1,2,12
P.J. Tucker,29,2,6,1,3,0,1,1,4,5,1,1,0,0,2,7
Kendall Gill,29,4,11,0,1,2,3,1,2,4,2,1,0,1,2,11
Ben Wallace,29,2,5,0,0,1,2,3,6,9,1,1,1,0,1,5
Vin Baker,29,5,11,0,0,2,4,2,3,6,1,0,0,2,3,13
Jason Terry,29,4,11,1,4,1,2,0,1,2,3,1,0,1,1,13
Trevor Ariza,29,3,8,1,4,1,2,0,3,4,2,1,0,1,2,10
Nikola Jokić,29,6,12,0,2,3,3,2,7,9,5,1,0,2,2,17
Ricky Davis,29,5,11,0,2,2,3,0,2,3,3,0,0,2,1,13
Raymond Felton,29,4,10,0,2,1,2,0,2,2,5,1,0,2,1,11
Jabari Brown,29,3,8,1,3,3,4,0,1,1,2,0,0,1,1,11
David Robinson,29,5,10,0,0,4,6,2,6,9,1,1,2,1,2,14
Andrei Kirilenko,29,3,8,0,1,3,4,1,3,5,2,1,1,1,2,11
Chandler Parsons,29,4,10,1,4,1,2,0,3,4,2,0,0,1,1,12
Jeff Hornacek,29,4,9,0,1,3,3,0,2,3,3,1,0,1,2,13
Thaddeus Young,29,5,11,0,1,1,2,2,3,5,1,1,0,1,2,13
D.J. Kennedy,29,2,6,1,2,0,1,0,3,3,1,1,0,1,3,6
Robert Covington,29,4,10,2,6,1,2,0,4,5,1,1,0,1,3,12
RJ Barrett,29,5,12,1,3,2,4,0,4,4,2,0,0,2,2,14
Detlef Schrempf,29,4,9,0,1,3,3,1,4,5,3,0,0,1,2,12
Kevin Martin,29,5,12,1,4,4,5,0,2,3,1,0,0,1,1,17
Darren Collison,28,4,9,0,2,2,2,0,2,2,4,1,0,1,1,12
Nick Anderson,28,4,10,1,5,1,1,1,3,4,1,1,0,1,1,11
Kyle Kuzma,28,5,12,1,5,2,2,0,4,5,1,0,0,1,2,15
Marcus Smart,28,3,8,1,4,1,2,0,2,3,4,1,0,1,2,9
Myles Turner,28,4,9,0,2,2,2,1,5,6,1,0,2,1,2,12
Mychal Mulder,28,3,9,2,7,1,1,0,2,3,1,0,0,0,2,11
Marcus Camby,28,3,8,0,0,1,2,2,7,9,1,0,2,1,2,9
Draymond Green,28,3,7,0,2,1,2,1,6,7,5,1,1,2,2,9
Mehmet Okur,28,4,10,0,2,2,3,1,4,6,1,0,0,1,2,12
Elfrid Payton,28,4,9,0,1,1,2,1,3,4,6,1,0,2,2,10
Malcolm Brogdon,28,5,10,1,3,2,2,0,3,3,4,0,0,1,1,13
Richard Jefferson,28,4,9,0,2,2,3,0,3,4,2,0,0,1,2,12
Mikal Bridges,28,3,6,1,3,1,1,0,2,3,1,1,0,0,2,8
D'Angelo Russell,28,6,15,2,6,2,2,0,3,3,5,1,0,2,1,17
Rafer Alston,28,3,9,1,4,1,1,0,2,2,4,1,0,1,2,10
Mario Elie,28,2,6,0,2,1,2,0,2,2,2,1,0,1,2,8
Serge Ibaka,28,5,9,0,1,1,1,2,5,7,0,0,2,1,2,12
Paul Millsap,28,5,10,0,1,3,4,2,5,7,2,1,1,1,3,13
Mo Williams,28,4,11,1,3,1,2,0,2,2,4,0,0,2,2,12
Patrick Ewing,28,5,11,0,0,3,4,1,6,8,1,0,1,2,2,14
Derek Anderson,28,3,9,1,3,3,3,0,2,3,3,1,0,1,1,11
Gary Harris,28,4,9,1,4,1,1,0,2,2,2,1,0,1,1,12
David Lee,28,5,10,0,0,2,3,2,6,8,2,0,0,1,2,13
Avery Bradley,28,4,10,1,3,1,1,0,2,2,1,1,0,1,2,11
Kevin Huerter,28,4,9,2,5,0,0,0,2,3,3,0,0,1,2,10
Jeff Green,28,4,10,1,3,2,3,0,3,4,1,0,0,1,2,12
T.J. Warren,28,6,12,0,2,1,2,1,2,4,1,1,0,1,2,15
Steve Smith,28,4,10,1,3,3,3,0,1,2,2,0,0,1,2,13
Al Jefferson,28,6,13,0,0,2,3,2,6,8,1,0,1,1,2,15
Brandon Knight,28,5,12,1,4,2,2,0,2,3,3,0,0,2,1,14
Jamal Crawford,28,5,12,1,4,2,3,0,1,2,3,0,0,1,1,14
Ty Lawson,28,4,9,0,2,2,3,0,2,2,5,1,0,2,1,12
Kentavious Caldwell-Pope,28,4,9,1,4,1,1,0,2,3,1,1,0,0,1,11
Isaiah Thomas,28,5,13,1,5,4,5,0,1,2,5,0,0,2,2,18
Jason Williams,28,3,9,1,4,1,1,0,2,2,5,1,0,2,1,10
Tyler Herro,28,5,11,2,5,1,2,0,4,4,2,0,0,1,1,14
Andrea Bargnani,28,5,12,1,3,2,3,0,3,4,1,0,0,1,2,14
Jabari Parker,28,5,12,0,2,2,2,1,4,5,2,0,0,1,2,14
Aaron Gordon,28,4,10,1,3,2,2,1,4,6,2,0,0,1,2,12
Julius Randle,28,6,12,0,1,3,4,2,6,9,2,0,0,2,3,16
Gerald Wallace,28,4,8,0,1,2,4,1,4,5,2,1,0,1,2,11
Juwan Howard,28,4,10,0,0,2,3,1,3,5,1,0,0,1,2,12
Bojan Bogdanović,28,4,10,1,4,2,2,0,3,3,1,0,0,1,1,14
Jameer Nelson,27,4,10,1,3,1,1,0,2,2,5,0,0,2,2,11
Anthony Parker,27,3,7,1,3,1,1,0,2,3,2,0,0,1,1,9
Kenny Thomas,27,3,7,0,0,1,2,2,4,6,1,0,0,1,2,9
Voshon Lenard,27,4,10,1,4,1,2,0,2,2,2,0,0,1,2,12
Kenny Anderson,27,4,9,0,1,1,2,0,2,2,4,1,0,1,2,10
Joakim Noah,27,3,6,0,0,2,2,3,5,9,2,0,1,1,2,8
Eric Bledsoe,27,4,10,1,3,2,3,0,3,3,4,1,0,2,2,13
Bison Dele,27,5,10,0,0,1,2,2,4,6,1,0,0,2,3,12
Goran Dragić,27,5,11,1,3,2,3,0,2,3,4,0,0,2,2,13
Ben Gordon,27,5,12,1,3,2,3,0,2,2,2,0,0,2,2,15
Rex Chapman,27,4,11,1,4,1,2,0,2,2,2,0,0,1,1,12
Ryan Gomes,27,3,8,0,1,1,2,1,3,4,1,0,0,1,1,10
Alonzo Mourning,27,5,9,0,0,3,5,2,5,7,0,0,2,2,3,14
Marvin Williams,27,3,8,0,2,1,2,1,3,5,1,0,0,0,1,10
Dikembe Mutombo,27,2,5,0,0,2,3,2,6,9,0,0,2,1,2,8
Dillon Brooks,27,4,11,1,4,1,2,0,2,3,1,0,0,1,3,12
Raja Bell,27,3,8,1,3,1,1,0,2,2,1,0,0,0,2,9
Kasib Powell,27,3,8,0,3,0,0,0,3,4,1,0,0,0,1,7
Justise Winslow,27,3,8,0,2,1,1,1,4,5,2,0,0,1,2,8
Mike Dunleavy,27,3,8,1,3,1,2,0,3,4,2,0,0,1,1,11
Hersey Hawkins,27,3,7,1,3,2,2,0,2,3,2,1,0,1,1,9
Mark Jackson,27,2,6,0,2,1,1,0,2,3,7,0,0,2,1,7
Tom Gugliotta,27,4,9,0,0,2,2,1,4,6,2,1,0,1,2,11
Corey Maggette,27,4,10,0,1,5,6,1,3,4,2,0,0,2,2,15
Dion Waiters,27,4,11,1,3,1,2,0,2,2,2,0,0,1,1,12
John Collins,27,6,11,0,2,2,3,2,5,8,1,0,1,1,3,16
Dan Majerle,27,2,6,1,4,0,0,0,3,3,2,1,0,0,2,6
Alvin Williams,27,3,8,0,1,1,1,0,1,2,4,1,0,1,1,9
Patrick Beverley,27,3,7,1,4,1,1,1,3,4,3,1,0,1,3,8
Chris Mills,27,3,9,0,2,1,2,1,3,4,1,0,0,1,2,10
Delonte West,27,3,8,0,2,1,1,0,2,2,3,1,0,1,1,9
David West,27,5,10,0,0,2,3,1,4,6,2,0,0,1,2,13
George Hill,27,3,8,1,3,2,2,0,2,3,3,0,0,1,2,11
Zion Williamson,27,8,15,0,0,4,7,2,3,6,2,0,0,2,1,22
Brad Miller,27,3,8,0,0,2,3,1,5,7,2,0,0,1,2,11
Evan Fournier,27,5,11,1,4,2,2,0,2,2,2,0,0,1,2,14
DeAndre Jordan,27,3,5,0,0,1,4,3,7,10,0,0,1,1,2,9
T.J. Ford,27,4,9,0,1,2,2,0,2,3,5,1,0,2,2,11
Wesley Person,27,4,9,1,3,0,1,0,2,3,1,0,0,0,1,11
Al Harrington,27,4,11,0,2,2,3,1,4,5,1,0,0,1,3,13
Sean Elliott,27,3,8,0,2,1,2,0,3,3,2,0,0,1,2,10
Bruce Bowen,27,2,5,0,2,0,1,0,2,2,1,0,0,0,2,6
Al Thornton,27,4,10,0,0,2,3,1,2,4,1,0,0,1,2,11
Eric Snow,27,2,6,0,0,1,2,0,2,2,5,1,0,1,2,7
Bogdan Bogdanović,27,4,11,2,5,1,1,0,2,3,3,0,0,1,2,13
Jeff McInnis,27,3,8,0,1,1,1,0,1,2,4,0,0,1,2,9
Eric Paschall,27,5,10,0,2,2,3,1,3,4,2,0,0,1,2,13
Jarrett Jack,27,3,8,0,2,2,2,0,2,2,4,0,0,2,1,10
Renaldo Major,27,2,10,0,0,1,2,0,2,2,0,2,0,1,4,5
Jeff Teague,27,4,10,0,2,2,3,0,2,2,5,1,0,2,1,12
Tristan Thompson,27,3,7,0,0,1,3,3,5,8,0,0,0,1,2,9
Brian Grant,27,3,7,0,0,2,2,2,5,7,1,0,0,1,3,9
Buddy Hield,27,5,13,2,6,1,1,0,3,4,2,0,0,1,1,15
Shawn Kemp,26,4,10,0,0,3,5,2,4,7,1,1,0,2,3,13
Jaren Jackson Jr.,26,5,11,1,4,2,3,1,3,4,1,0,1,1,3,15
Tyson Chandler,26,3,5,0,0,2,3,3,5,8,0,0,1,1,2,8
Tyrone Corbin,26,3,7,0,2,0,1,0,2,3,1,0,0,0,2,7
Jaylen Brown,26,4,10,1,3,1,2,0,3,4,1,0,0,1,2,13
