,playerName,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Pos
380,Bonzi Wells,24,4,10,0,1,2,3,1,3,4,2,1,0,2,2,11,G-F
381,Calbert Cheaney,24,3,7,0,0,0,1,0,2,3,1,0,0,0,2,7,G-F
382,Otis Thorpe,24,3,7,0,0,1,2,1,3,5,1,0,0,1,3,8,F-C
383,Danny Green,24,3,7,1,4,0,0,0,2,3,1,1,0,0,1,8,G-F
384,Lou Williams,24,4,11,1,3,3,4,0,1,2,3,0,0,1,1,14,G
385,Bryant Stith,24,2,6,0,2,2,2,0,2,2,1,0,0,1,1,8,G
386,Al-Farouq Aminu,24,2,6,0,2,1,1,1,4,6,1,0,0,1,1,7,F
387,Bob Sura,24,3,7,0,2,2,3,0,2,3,3,1,0,1,2,8,G
388,Nenad Krstić,24,4,8,0,0,1,2,1,3,5,0,0,0,1,2,10,C
389,Luis Scola,24,4,9,0,0,1,2,1,4,6,1,0,0,1,2,11,F
390,Bobby Simmons,24,3,7,0,2,1,1,1,2,3,1,0,0,1,2,8,G-F
391,Jerami Grant,24,3,7,0,2,1,2,0,2,3,1,0,1,0,2,9,F
392,Jeremy Lin,24,3,8,0,2,2,3,0,2,2,4,1,0,2,2,11,G
393,Taj Gibson,24,3,7,0,0,1,2,2,3,6,0,0,1,1,2,9,F
394,Miles Bridges,24,3,8,1,3,1,1,1,3,4,1,0,0,1,1,9,G-F
395,Joe Smith,24,3,8,0,0,2,2,2,3,6,0,0,0,1,2,10,F
396,Aaron McKie,24,2,6,0,1,1,1,0,2,3,2,1,0,1,1,7,G
397,Olden Polynice,24,3,7,0,0,0,1,2,4,6,1,0,0,1,3,7,C-F
398,Marvin Bagley III,24,5,11,0,1,2,3,2,5,7,0,0,0,1,2,14,F-C
399,Dorian Finney-Smith,24,2,5,1,3,0,1,1,2,4,1,0,0,0,2,7,F
400,Speedy Claxton,24,3,7,0,0,2,3,0,1,2,4,1,0,1,2,8,G
401,Iman Shumpert,24,2,6,1,3,0,1,0,2,3,1,1,0,1,2,7,G
402,Reggie Jackson,24,4,10,1,3,2,2,0,2,2,4,0,0,1,1,12,G
403,Brevin Knight,24,2,6,0,0,1,2,0,2,2,6,1,0,1,2,7,G
404,Domantas Sabonis,24,4,9,0,0,2,3,1,5,7,2,0,0,1,2,12,F-C
405,Maurice Taylor,24,4,9,0,0,1,2,1,3,4,1,0,0,1,3,11,F
406,Michael Carter-Williams,24,3,9,0,1,2,3,0,3,4,4,1,0,2,2,10,G
407,Clint Capela,24,5,7,0,0,1,3,3,6,9,0,0,1,1,2,11,C
408,Kyle Korver,24,3,7,1,4,1,1,0,2,2,1,0,0,1,2,9,G-F
409,Josh Hart,24,3,7,1,4,1,1,0,4,4,1,0,0,0,2,8,G
410,Trenton Hassell,24,2,5,0,0,0,1,0,1,2,1,0,0,0,2,5,G
411,Nikola Peković,24,4,9,0,0,2,3,2,3,6,0,0,0,1,2,12,C
412,Tyler Johnson,24,3,8,1,3,1,2,0,2,3,2,0,0,1,1,10,G
413,Michael Smith,24,1,3,0,0,1,2,2,5,7,1,0,0,1,2,5,F
414,Michael Smith,24,1,3,0,0,1,2,2,5,7,1,0,0,1,2,5,F
415,Markieff Morris,24,4,9,0,2,1,2,1,4,5,1,0,0,1,2,11,F
416,Chris Duhon,24,2,5,1,2,0,1,0,1,2,4,0,0,1,1,6,G
417,Roy Hibbert,24,4,8,0,0,2,2,2,4,6,1,0,1,1,3,10,C
418,Jae Crowder,24,3,8,1,4,1,2,0,3,4,1,0,0,0,2,9,F
419,Mark Price,24,3,8,1,3,1,2,0,1,2,4,0,0,2,1,10,G
420,Jonas Valančiūnas,24,4,8,0,0,2,3,2,6,8,0,0,1,1,2,12,C
421,Chris Childs,24,2,5,0,1,1,1,0,2,2,4,0,0,1,3,6,G
422,Markelle Fultz,24,4,9,0,1,1,2,0,2,3,4,1,0,1,2,10,G
423,Duje Dukan,24,2,10,2,5,0,0,2,2,4,1,1,0,0,2,6,F
424,Marko Jarić,24,2,6,0,1,1,1,0,2,2,3,1,0,1,2,7,G
425,Randy Foye,24,3,8,1,3,1,1,0,1,2,2,0,0,1,2,10,G
426,Drew Gooden,24,4,9,0,0,2,2,2,4,7,1,0,0,1,2,10,F
427,Andrew Bynum,24,4,8,0,0,2,3,2,5,7,1,0,1,1,2,11,C
428,Rodney Rogers,24,4,9,0,2,1,2,1,3,4,1,0,0,1,3,10,F
429,Jarrett Culver,23,3,9,1,3,0,1,1,2,3,1,0,0,1,1,9,G
430,Fred VanVleet,23,3,8,1,4,1,1,0,2,2,3,0,0,1,1,10,G
431,Kris Dunn,23,3,8,0,1,0,1,0,2,3,4,1,0,1,2,8,G
432,DeMarre Carroll,23,3,7,1,3,1,2,1,3,4,1,0,0,0,1,8,F
433,Jared Sullinger,23,4,9,0,1,1,2,2,4,7,1,0,0,1,2,10,F
434,Lance Stephenson,23,3,7,0,2,1,1,0,3,4,2,0,0,1,2,8,G-F
435,Jarrett Allen,23,3,6,0,0,2,3,2,5,7,1,0,1,1,2,10,C-F
436,Fred Jones,23,2,6,0,2,1,1,0,1,2,2,0,0,1,1,7,G-F
437,Lamond Murray,23,4,9,0,1,2,2,1,2,4,1,0,0,1,1,11,F
438,Josh Okogie,23,2,6,0,2,1,2,0,2,3,1,1,0,1,2,8,G
439,Landry Shamet,23,2,6,2,5,1,1,0,1,1,1,0,0,0,2,8,G
440,Muggsy Bogues,23,2,5,0,0,0,1,0,1,1,4,1,0,1,1,6,G
441,Josh Jackson,23,4,10,0,2,1,3,0,3,4,1,0,0,1,2,11,F-G
442,Kurt Thomas,23,3,6,0,0,1,1,1,4,6,1,0,0,1,3,7,F
443,Matt Barnes,23,2,6,1,3,1,1,1,3,4,1,0,0,1,2,8,F
444,Jordan Crawford,23,4,10,1,3,1,2,0,1,2,3,0,0,1,1,11,G
445,Michael Kidd-Gilchrist,23,3,6,0,0,1,2,1,3,5,1,0,0,0,2,8,F
446,Hollis Thompson,23,2,6,1,3,0,1,0,2,3,1,0,0,0,2,7,G-F
447,Martell Webster,23,2,6,1,3,1,1,0,2,3,0,0,0,0,1,8,G-F
