playerName,seasonStartYear,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,inflationAdjSalary
Tracy McGrady,2000,39.9,10.4,22.8,0.8,2.2,5.7,7.7,2.4,5.0,7.5,4.8,1.5,1.5,2.5,2.1,27.2,15223.801
Andre Iguodala,2006,39.8,5.8,13.0,0.6,2.0,5.9,7.2,1.0,4.7,5.7,5.7,2.0,0.4,3.4,2.6,18.2,2948.135
Gary Payton,2002,39.8,8.3,18.3,0.6,2.3,3.1,4.3,1.0,3.1,4.1,8.3,1.6,0.2,2.3,2.3,20.3,19083.837
Andre Iguodala,2008,39.8,6.7,14.1,1.0,3.3,4.6,6.4,1.1,4.7,5.8,5.4,1.6,0.4,2.8,1.8,19.0,14030.869
Ray Allen,2006,39.8,9.2,21.0,3.0,8.1,5.1,5.6,1.0,3.5,4.5,4.1,1.5,0.2,2.8,2.1,26.4,19565.821
Tim Duncan,1998,39.7,8.4,16.8,0.0,0.1,5.3,7.5,3.2,8.2,11.4,2.5,0.9,2.6,3.0,2.9,22.1,5688.947
Ray Allen,1997,39.7,6.9,16.0,1.6,4.5,4.2,4.8,1.5,3.4,4.9,4.3,1.4,0.1,3.2,3.0,19.5,3478.59
Kevin Garnett,1999,39.7,9.3,18.9,0.4,1.0,3.8,4.9,2.8,9.0,11.8,5.1,1.5,1.5,3.3,2.6,22.7,27474.154
Damon Stoudamire,1997,39.7,6.3,15.4,1.3,4.3,3.3,4.0,1.2,3.0,4.2,8.2,1.6,0.1,3.2,2.2,17.3,2964.011
Glen Rice,1997,39.7,7.9,17.1,1.5,3.7,5.0,5.9,1.1,3.3,4.4,2.1,0.9,0.3,2.1,2.5,22.3,7969.523
Antawn Jamison,2005,39.7,8.0,18.1,1.8,4.6,2.7,3.7,2.0,7.2,9.2,2.0,1.1,0.2,1.7,2.4,20.4,19337.429
